Date,Product,Region,Sales_Units,Price_USD,Marketing_Spend_USD,Promotion,Inventory_Units,Day_of_Week
2019-02-03,Synthetic_Pharma_Product_A,North,1156,42.84,13133.03,1,19303,Sunday
2019-02-04,Synthetic_Pharma_Product_A,South,1546,41.09,25592.14,1,19508,Monday
2019-02-05,Synthetic_Pharma_Product_A,South,1489,41.31,21967.38,0,17353,Tuesday
2019-02-06,Synthetic_Pharma_Product_A,East,1455,41.75,17964.12,0,19467,Wednesday
2019-02-07,Synthetic_Pharma_Product_A,West,1474,41.87,24659.75,0,16813,Thursday
2019-02-08,Synthetic_Pharma_Product_A,West,1222,44.55,18348.16,0,20178,Friday
2019-02-09,Synthetic_Pharma_Product_A,South,971,42.18,14124.22,0,14635,Saturday
2019-02-10,Synthetic_Pharma_Product_A,West,1063,44.56,24854.06,0,18316,Sunday
2019-02-11,Synthetic_Pharma_Product_A,North,1375,41.72,20425.1,0,22847,Monday
2019-02-12,Synthetic_Pharma_Product_A,North,1245,42.28,13332.39,0,15499,Tuesday
2019-02-13,Synthetic_Pharma_Product_A,North,1807,35.01,17143.48,1,17106,Wednesday
2019-02-14,Synthetic_Pharma_Product_A,South,1223,45.21,14059.72,0,19285,Thursday
2019-02-15,Synthetic_Pharma_Product_A,East,998,43.21,11777.4,0,18449,Friday
2019-02-16,Synthetic_Pharma_Product_A,East,1232,45.49,22167.8,0,18877,Saturday
2019-02-17,Synthetic_Pharma_Product_A,West,1324,34.0,26592.37,0,19223,Sunday
2019-02-18,Synthetic_Pharma_Product_A,South,997,49.31,11706.45,0,19587,Monday
2019-02-19,Synthetic_Pharma_Product_A,South,1376,41.51,20533.36,0,20774,Tuesday
2019-02-20,Synthetic_Pharma_Product_A,North,1573,45.88,15072.11,1,19825,Wednesday
2019-02-21,Synthetic_Pharma_Product_A,North,1694,38.36,15807.94,0,17397,Thursday
2019-02-22,Synthetic_Pharma_Product_A,East,1477,44.14,15334.23,1,20481,Friday
2019-02-23,Synthetic_Pharma_Product_A,South,1338,38.31,14112.04,1,23550,Saturday
2019-02-24,Synthetic_Pharma_Product_A,West,1261,39.82,18218.35,0,17668,Sunday
2019-02-25,Synthetic_Pharma_Product_A,North,1379,48.7,14260.72,1,16364,Monday
2019-02-26,Synthetic_Pharma_Product_A,North,1318,41.33,19217.06,0,20768,Tuesday
2019-02-27,Synthetic_Pharma_Product_A,South,1496,42.76,17773.93,0,17699,Wednesday
2019-02-28,Synthetic_Pharma_Product_A,North,1260,45.05,16924.73,0,12568,Thursday
2019-03-01,Synthetic_Pharma_Product_A,North,1276,43.73,13915.96,0,20119,Friday
2019-03-02,Synthetic_Pharma_Product_A,East,1195,42.53,15404.53,0,16662,Saturday
2019-03-03,Synthetic_Pharma_Product_A,North,1238,43.28,21399.26,0,17774,Sunday
2019-03-04,Synthetic_Pharma_Product_A,East,1454,50.0,20254.13,1,19630,Monday
2019-03-05,Synthetic_Pharma_Product_A,South,1203,41.8,13601.0,0,18476,Tuesday
2019-03-06,Synthetic_Pharma_Product_A,North,1269,42.7,18447.0,0,19774,Wednesday
2019-03-07,Synthetic_Pharma_Product_A,South,1184,45.68,21381.24,0,16911,Thursday
2019-03-08,Synthetic_Pharma_Product_A,West,1187,45.87,10487.68,0,19283,Friday
2019-03-09,Synthetic_Pharma_Product_A,South,1216,46.15,20445.12,0,17351,Saturday
2019-03-10,Synthetic_Pharma_Product_A,West,1151,44.24,15018.19,0,19847,Sunday
2019-03-11,Synthetic_Pharma_Product_A,North,1919,38.0,20567.69,1,20338,Monday
2019-03-12,Synthetic_Pharma_Product_A,West,1166,47.72,14565.33,0,15661,Tuesday
2019-03-13,Synthetic_Pharma_Product_A,North,1388,37.99,9878.03,0,20715,Wednesday
2019-03-14,Synthetic_Pharma_Product_A,East,1098,43.06,10676.06,0,16660,Thursday
2019-03-15,Synthetic_Pharma_Product_A,East,1390,39.36,18216.38,0,20020,Friday
2019-03-16,Synthetic_Pharma_Product_A,West,1301,41.78,19168.75,0,18918,Saturday
2019-03-17,Synthetic_Pharma_Product_A,South,1216,43.15,13930.58,0,22595,Sunday
2019-03-18,Synthetic_Pharma_Product_A,North,1358,43.12,20873.67,0,17441,Monday
2019-03-19,Synthetic_Pharma_Product_A,North,1210,43.48,10523.16,0,17127,Tuesday
2019-03-20,Synthetic_Pharma_Product_A,West,1066,47.65,17702.64,0,17951,Wednesday
2019-03-21,Synthetic_Pharma_Product_A,East,1213,43.59,12550.43,0,17242,Thursday
2019-03-22,Synthetic_Pharma_Product_A,West,1668,41.15,15066.74,1,20800,Friday
2019-03-23,Synthetic_Pharma_Product_A,North,1211,45.37,18213.29,0,13959,Saturday
2019-03-24,Synthetic_Pharma_Product_A,South,1132,46.16,14128.14,0,15366,Sunday
2019-03-25,Synthetic_Pharma_Product_A,North,1471,37.7,16269.5,0,15330,Monday
2019-03-26,Synthetic_Pharma_Product_A,West,1413,44.09,22528.32,0,20376,Tuesday
2019-03-27,Synthetic_Pharma_Product_A,East,1219,44.45,15403.99,0,22277,Wednesday
2019-03-28,Synthetic_Pharma_Product_A,West,1564,40.96,21760.61,0,17739,Thursday
2019-03-29,Synthetic_Pharma_Product_A,South,1246,46.81,12916.32,0,17578,Friday
2019-03-30,Synthetic_Pharma_Product_A,East,1539,41.47,20384.12,1,18975,Saturday
2019-03-31,Synthetic_Pharma_Product_A,East,1263,42.44,24487.06,0,20905,Sunday
2019-04-01,Synthetic_Pharma_Product_A,South,1013,41.39,8000.0,0,15682,Monday
2019-04-02,Synthetic_Pharma_Product_A,West,1467,42.05,14413.97,0,18596,Tuesday
2019-04-03,Synthetic_Pharma_Product_A,West,1501,38.16,20596.82,0,20438,Wednesday
2019-04-04,Synthetic_Pharma_Product_A,West,1428,36.96,17086.3,0,19253,Thursday
2019-04-05,Synthetic_Pharma_Product_A,East,1375,47.58,19670.16,0,18474,Friday
2019-04-06,Synthetic_Pharma_Product_A,South,1227,39.04,15282.07,0,20503,Saturday
2019-04-07,Synthetic_Pharma_Product_A,South,1449,38.53,18389.65,0,11242,Sunday
2019-04-08,Synthetic_Pharma_Product_A,West,1667,34.46,17299.45,0,19695,Monday
2019-04-09,Synthetic_Pharma_Product_A,North,1649,39.76,23255.02,0,16365,Tuesday
2019-04-10,Synthetic_Pharma_Product_A,East,1414,37.37,19144.89,0,13423,Wednesday
2019-04-11,Synthetic_Pharma_Product_A,East,1436,47.75,19519.21,0,19278,Thursday
2019-04-12,Synthetic_Pharma_Product_A,East,1337,45.53,16146.55,0,21434,Friday
2019-04-13,Synthetic_Pharma_Product_A,West,1238,39.59,15805.77,0,17656,Saturday
2019-04-14,Synthetic_Pharma_Product_A,South,1073,49.88,16053.49,0,20382,Sunday
2019-04-15,Synthetic_Pharma_Product_A,South,1399,45.44,19775.03,1,22831,Monday
2019-04-16,Synthetic_Pharma_Product_A,North,1477,40.86,16105.57,0,21287,Tuesday
2019-04-17,Synthetic_Pharma_Product_A,South,1557,34.0,19303.99,0,22100,Wednesday
2019-04-18,Synthetic_Pharma_Product_A,South,1223,50.0,27339.3,0,19855,Thursday
2019-04-19,Synthetic_Pharma_Product_A,South,1474,37.14,21920.06,0,18189,Friday
2019-04-20,Synthetic_Pharma_Product_A,West,1499,36.24,16532.89,0,13995,Saturday
2019-04-21,Synthetic_Pharma_Product_A,West,1198,45.58,23405.46,0,17385,Sunday
2019-04-22,Synthetic_Pharma_Product_A,North,1381,50.0,16163.66,0,15892,Monday
2019-04-23,Synthetic_Pharma_Product_A,South,1306,46.84,8828.44,1,24000,Tuesday
2019-04-24,Synthetic_Pharma_Product_A,West,1134,43.97,13463.61,0,17560,Wednesday
2019-04-25,Synthetic_Pharma_Product_A,North,1133,44.08,9581.44,0,18308,Thursday
2019-04-26,Synthetic_Pharma_Product_A,North,1701,44.99,16418.19,1,20179,Friday
2019-04-27,Synthetic_Pharma_Product_A,North,1203,44.66,18082.88,0,18109,Saturday
2019-04-28,Synthetic_Pharma_Product_A,East,1313,42.98,25543.97,0,22238,Sunday
2019-04-29,Synthetic_Pharma_Product_A,North,1727,42.36,19471.17,1,17243,Monday
2019-04-30,Synthetic_Pharma_Product_A,West,1502,41.78,17014.05,0,18487,Tuesday
2019-05-01,Synthetic_Pharma_Product_A,South,1721,39.36,21732.33,0,16144,Wednesday
2019-05-02,Synthetic_Pharma_Product_A,South,1678,41.02,8049.89,1,15500,Thursday
2019-05-03,Synthetic_Pharma_Product_A,North,1599,36.07,19060.27,0,16471,Friday
2019-05-04,Synthetic_Pharma_Product_A,South,1205,41.66,21468.89,0,17907,Saturday
2019-05-05,Synthetic_Pharma_Product_A,East,1214,38.54,11346.36,0,16927,Sunday
2019-05-06,Synthetic_Pharma_Product_A,West,1694,38.14,23146.89,0,16269,Monday
2019-05-07,Synthetic_Pharma_Product_A,West,1372,42.63,19523.23,0,14484,Tuesday
2019-05-08,Synthetic_Pharma_Product_A,East,1415,46.87,16131.2,1,18592,Wednesday
2019-05-09,Synthetic_Pharma_Product_A,West,1471,45.21,20847.52,0,14238,Thursday
2019-05-10,Synthetic_Pharma_Product_A,West,1809,36.5,28218.12,0,19900,Friday
2019-05-11,Synthetic_Pharma_Product_A,West,1393,38.54,18818.4,0,18206,Saturday
2019-05-12,Synthetic_Pharma_Product_A,North,1153,45.29,19116.99,0,14356,Sunday
2019-05-13,Synthetic_Pharma_Product_A,North,1501,38.56,15932.88,0,17227,Monday
2019-05-14,Synthetic_Pharma_Product_A,North,1325,41.21,14175.7,0,16120,Tuesday
2019-05-15,Synthetic_Pharma_Product_A,East,1825,43.93,21736.51,1,19598,Wednesday
2019-05-16,Synthetic_Pharma_Product_A,South,1608,38.61,14147.62,0,21351,Thursday
2019-05-17,Synthetic_Pharma_Product_A,South,1271,42.37,18322.05,0,13312,Friday
2019-05-18,Synthetic_Pharma_Product_A,West,1271,37.33,15850.54,0,18288,Saturday
2019-05-19,Synthetic_Pharma_Product_A,West,1221,39.9,20155.41,0,17600,Sunday
2019-05-20,Synthetic_Pharma_Product_A,West,1642,43.12,19501.48,1,20478,Monday
2019-05-21,Synthetic_Pharma_Product_A,South,1987,36.42,22668.93,1,19333,Tuesday
2019-05-22,Synthetic_Pharma_Product_A,East,1242,43.54,15704.93,0,16120,Wednesday
2019-05-23,Synthetic_Pharma_Product_A,South,1361,41.93,16785.56,0,17202,Thursday
2019-05-24,Synthetic_Pharma_Product_A,North,1245,43.93,13595.56,0,16010,Friday
2019-05-25,Synthetic_Pharma_Product_A,North,1279,42.78,16000.68,0,20690,Saturday
2019-05-26,Synthetic_Pharma_Product_A,South,1226,46.77,19697.85,0,18053,Sunday
2019-05-27,Synthetic_Pharma_Product_A,South,1454,42.44,21406.45,0,22753,Monday
2019-05-28,Synthetic_Pharma_Product_A,West,1469,40.5,13850.26,0,17848,Tuesday
2019-05-29,Synthetic_Pharma_Product_A,North,1484,42.43,21913.23,0,16229,Wednesday
2019-05-30,Synthetic_Pharma_Product_A,East,1511,43.9,24100.37,0,14216,Thursday
2019-05-31,Synthetic_Pharma_Product_A,East,1942,42.17,19860.46,1,14292,Friday
2019-06-01,Synthetic_Pharma_Product_A,South,1585,42.14,26445.58,0,14040,Saturday
2019-06-02,Synthetic_Pharma_Product_A,South,1166,39.54,14517.95,0,18668,Sunday
2019-06-03,Synthetic_Pharma_Product_A,South,1536,39.68,12399.05,0,19272,Monday
2019-06-04,Synthetic_Pharma_Product_A,East,1786,37.09,9995.76,1,14847,Tuesday
2019-06-05,Synthetic_Pharma_Product_A,South,1306,48.12,24732.2,0,20238,Wednesday
2019-06-06,Synthetic_Pharma_Product_A,North,1752,37.65,20944.65,0,16792,Thursday
2019-06-07,Synthetic_Pharma_Product_A,North,1718,39.57,17749.87,0,18367,Friday
2019-06-08,Synthetic_Pharma_Product_A,East,1267,39.49,19259.86,0,22031,Saturday
2019-06-09,Synthetic_Pharma_Product_A,West,1060,45.13,12935.3,0,20242,Sunday
2019-06-10,Synthetic_Pharma_Product_A,South,1830,40.97,29005.88,0,17329,Monday
2019-06-11,Synthetic_Pharma_Product_A,East,1412,46.37,18581.5,0,15772,Tuesday
2019-06-12,Synthetic_Pharma_Product_A,East,1622,39.64,18492.28,0,12620,Wednesday
2019-06-13,Synthetic_Pharma_Product_A,West,1558,42.98,21265.95,0,16202,Thursday
2019-06-14,Synthetic_Pharma_Product_A,West,1651,39.08,20164.54,0,17472,Friday
2019-06-15,Synthetic_Pharma_Product_A,East,1186,49.51,19007.48,1,16332,Saturday
2019-06-16,Synthetic_Pharma_Product_A,East,1463,37.84,14442.86,0,17672,Sunday
2019-06-17,Synthetic_Pharma_Product_A,West,1626,43.08,20121.61,0,18192,Monday
2019-06-18,Synthetic_Pharma_Product_A,South,1550,44.22,26469.11,0,17438,Tuesday
2019-06-19,Synthetic_Pharma_Product_A,South,1551,43.45,24054.39,0,16375,Wednesday
2019-06-20,Synthetic_Pharma_Product_A,North,1468,41.35,25169.34,0,18422,Thursday
2019-06-21,Synthetic_Pharma_Product_A,West,1516,41.55,15699.53,0,19105,Friday
2019-06-22,Synthetic_Pharma_Product_A,West,1299,42.15,13546.78,0,15274,Saturday
2019-06-23,Synthetic_Pharma_Product_A,North,1306,41.49,17433.96,0,21527,Sunday
2019-06-24,Synthetic_Pharma_Product_A,East,1526,45.37,18250.76,0,17754,Monday
2019-06-25,Synthetic_Pharma_Product_A,South,1321,49.74,22923.86,0,18047,Tuesday
2019-06-26,Synthetic_Pharma_Product_A,North,1461,40.05,10383.91,0,19771,Wednesday
2019-06-27,Synthetic_Pharma_Product_A,West,1637,37.21,24882.98,0,18583,Thursday
2019-06-28,Synthetic_Pharma_Product_A,North,1717,41.69,17288.96,1,21183,Friday
2019-06-29,Synthetic_Pharma_Product_A,North,1076,50.0,16079.04,0,18718,Saturday
2019-06-30,Synthetic_Pharma_Product_A,East,1323,39.19,13445.53,0,16469,Sunday
2019-07-01,Synthetic_Pharma_Product_A,East,1173,47.74,10553.14,0,18904,Monday
2019-07-02,Synthetic_Pharma_Product_A,North,1596,47.87,21704.27,1,15941,Tuesday
2019-07-03,Synthetic_Pharma_Product_A,East,1880,40.06,18329.93,1,19071,Wednesday
2019-07-04,Synthetic_Pharma_Product_A,East,1284,43.99,12195.18,0,17917,Thursday
2019-07-05,Synthetic_Pharma_Product_A,North,1062,47.7,12172.15,0,17480,Friday
2019-07-06,Synthetic_Pharma_Product_A,North,1505,40.67,16488.97,0,17679,Saturday
2019-07-07,Synthetic_Pharma_Product_A,East,1593,41.29,25510.6,0,13295,Sunday
2019-07-08,Synthetic_Pharma_Product_A,South,1373,39.96,16831.84,0,16628,Monday
2019-07-09,Synthetic_Pharma_Product_A,West,1524,38.45,11235.86,0,18232,Tuesday
2019-07-10,Synthetic_Pharma_Product_A,West,1466,39.73,16894.16,0,18400,Wednesday
2019-07-11,Synthetic_Pharma_Product_A,West,1852,37.72,16772.74,1,16231,Thursday
2019-07-12,Synthetic_Pharma_Product_A,North,1540,42.12,8000.0,1,21964,Friday
2019-07-13,Synthetic_Pharma_Product_A,West,1335,39.31,17755.67,0,15835,Saturday
2019-07-14,Synthetic_Pharma_Product_A,South,1180,42.82,16960.79,0,20424,Sunday
2019-07-15,Synthetic_Pharma_Product_A,South,1608,36.55,21132.93,0,19068,Monday
2019-07-16,Synthetic_Pharma_Product_A,North,1491,43.16,26320.3,0,16384,Tuesday
2019-07-17,Synthetic_Pharma_Product_A,North,1632,44.92,23069.54,1,23238,Wednesday
2019-07-18,Synthetic_Pharma_Product_A,East,1892,35.02,16790.0,1,15816,Thursday
2019-07-19,Synthetic_Pharma_Product_A,South,1276,43.31,13020.63,0,20298,Friday
2019-07-20,Synthetic_Pharma_Product_A,North,1440,46.3,29580.12,0,20501,Saturday
2019-07-21,Synthetic_Pharma_Product_A,East,1564,37.77,18266.48,0,16323,Sunday
2019-07-22,Synthetic_Pharma_Product_A,North,1256,47.85,18062.68,0,21481,Monday
2019-07-23,Synthetic_Pharma_Product_A,East,1688,43.47,17891.44,1,18175,Tuesday
2019-07-24,Synthetic_Pharma_Product_A,South,1609,39.53,18891.38,0,18722,Wednesday
2019-07-25,Synthetic_Pharma_Product_A,West,1517,41.8,17350.38,0,18651,Thursday
2019-07-26,Synthetic_Pharma_Product_A,West,1384,43.95,15418.52,0,17664,Friday
2019-07-27,Synthetic_Pharma_Product_A,South,1331,42.27,15539.13,0,20027,Saturday
2019-07-28,Synthetic_Pharma_Product_A,South,1300,43.89,17852.61,0,19984,Sunday
2019-07-29,Synthetic_Pharma_Product_A,South,1372,38.78,15554.59,0,13629,Monday
2019-07-30,Synthetic_Pharma_Product_A,West,1492,42.59,14792.19,0,21261,Tuesday
2019-07-31,Synthetic_Pharma_Product_A,South,1704,37.05,18478.94,0,13844,Wednesday
2019-08-01,Synthetic_Pharma_Product_A,North,1372,41.61,16852.6,0,20581,Thursday
2019-08-02,Synthetic_Pharma_Product_A,North,1679,38.84,24767.97,0,20817,Friday
2019-08-03,Synthetic_Pharma_Product_A,South,1262,39.43,8000.0,0,15273,Saturday
2019-08-04,Synthetic_Pharma_Product_A,South,1236,46.33,22911.78,0,16973,Sunday
2019-08-05,Synthetic_Pharma_Product_A,West,1573,45.82,23607.38,0,15236,Monday
2019-08-06,Synthetic_Pharma_Product_A,North,1509,44.13,8669.74,0,17463,Tuesday
2019-08-07,Synthetic_Pharma_Product_A,South,1447,38.18,16457.91,0,17230,Wednesday
2019-08-08,Synthetic_Pharma_Product_A,West,1542,40.89,16328.52,1,20749,Thursday
2019-08-09,Synthetic_Pharma_Product_A,West,1280,46.25,11666.2,0,21276,Friday
2019-08-10,Synthetic_Pharma_Product_A,South,1299,42.5,14499.82,0,21489,Saturday
2019-08-11,Synthetic_Pharma_Product_A,South,1008,50.0,13002.41,0,16595,Sunday
2019-08-12,Synthetic_Pharma_Product_A,South,1717,43.38,25885.22,0,17477,Monday
2019-08-13,Synthetic_Pharma_Product_A,West,1365,42.67,22210.55,0,13791,Tuesday
2019-08-14,Synthetic_Pharma_Product_A,North,1663,40.92,23722.0,0,15985,Wednesday
2019-08-15,Synthetic_Pharma_Product_A,West,1673,42.47,21247.52,1,21212,Thursday
2019-08-16,Synthetic_Pharma_Product_A,East,1568,41.47,12919.27,0,22039,Friday
2019-08-17,Synthetic_Pharma_Product_A,East,1597,44.48,15639.66,1,15714,Saturday
2019-08-18,Synthetic_Pharma_Product_A,North,1150,45.35,20202.19,0,16519,Sunday
2019-08-19,Synthetic_Pharma_Product_A,South,1363,39.25,12500.42,0,17934,Monday
2019-08-20,Synthetic_Pharma_Product_A,South,1729,37.34,21208.49,0,18700,Tuesday
2019-08-21,Synthetic_Pharma_Product_A,North,1555,35.57,16918.54,0,15976,Wednesday
2019-08-22,Synthetic_Pharma_Product_A,East,1371,43.78,16313.31,0,19060,Thursday
2019-08-23,Synthetic_Pharma_Product_A,West,1613,38.14,21199.32,0,16815,Friday
2019-08-24,Synthetic_Pharma_Product_A,East,1271,34.46,19999.18,0,17964,Saturday
2019-08-25,Synthetic_Pharma_Product_A,East,1218,43.36,16375.65,0,19366,Sunday
2019-08-26,Synthetic_Pharma_Product_A,North,1242,50.0,23216.98,0,18016,Monday
2019-08-27,Synthetic_Pharma_Product_A,South,1309,41.98,13135.22,0,16909,Tuesday
2019-08-28,Synthetic_Pharma_Product_A,North,1575,44.93,20771.71,0,17726,Wednesday
2019-08-29,Synthetic_Pharma_Product_A,East,1584,42.29,20668.96,1,18579,Thursday
2019-08-30,Synthetic_Pharma_Product_A,West,1748,41.65,16607.04,1,17875,Friday
2019-08-31,Synthetic_Pharma_Product_A,East,1384,45.22,19467.6,1,18153,Saturday
2019-09-01,Synthetic_Pharma_Product_A,North,1176,40.98,12369.99,0,21997,Sunday
2019-09-02,Synthetic_Pharma_Product_A,South,1577,42.94,22158.12,0,19402,Monday
2019-09-03,Synthetic_Pharma_Product_A,East,1661,43.13,17167.94,1,18061,Tuesday
2019-09-04,Synthetic_Pharma_Product_A,South,1523,39.66,15647.75,0,19742,Wednesday
2019-09-05,Synthetic_Pharma_Product_A,West,1764,45.47,22720.54,1,17965,Thursday
2019-09-06,Synthetic_Pharma_Product_A,West,1589,41.39,14830.45,1,21733,Friday
2019-09-07,Synthetic_Pharma_Product_A,East,1356,39.35,11661.92,1,19724,Saturday
2019-09-08,Synthetic_Pharma_Product_A,South,1002,43.88,10995.17,0,17732,Sunday
2019-09-09,Synthetic_Pharma_Product_A,North,1480,38.86,20727.04,0,19119,Monday
2019-09-10,Synthetic_Pharma_Product_A,North,1876,42.1,12238.07,1,14873,Tuesday
2019-09-11,Synthetic_Pharma_Product_A,South,1714,41.97,25896.57,0,15183,Wednesday
2019-09-12,Synthetic_Pharma_Product_A,South,1041,45.8,8631.32,0,15015,Thursday
2019-09-13,Synthetic_Pharma_Product_A,East,1378,43.66,25634.05,0,18357,Friday
2019-09-14,Synthetic_Pharma_Product_A,East,1540,41.91,18949.58,1,23131,Saturday
2019-09-15,Synthetic_Pharma_Product_A,North,1254,44.86,17564.79,0,23578,Sunday
2019-09-16,Synthetic_Pharma_Product_A,South,1334,46.87,15547.86,0,19595,Monday
2019-09-17,Synthetic_Pharma_Product_A,North,1389,43.95,19796.11,0,19252,Tuesday
2019-09-18,Synthetic_Pharma_Product_A,North,1419,42.04,17830.64,0,13497,Wednesday
2019-09-19,Synthetic_Pharma_Product_A,West,1948,37.41,22964.86,1,17443,Thursday
2019-09-20,Synthetic_Pharma_Product_A,North,1551,38.27,18514.02,0,16031,Friday
2019-09-21,Synthetic_Pharma_Product_A,South,1055,40.93,18676.36,0,16448,Saturday
2019-09-22,Synthetic_Pharma_Product_A,North,1467,39.87,16363.75,1,18380,Sunday
2019-09-23,Synthetic_Pharma_Product_A,West,1355,41.35,17743.74,0,16820,Monday
2019-09-24,Synthetic_Pharma_Product_A,East,1474,42.2,19385.11,0,13052,Tuesday
2019-09-25,Synthetic_Pharma_Product_A,North,1588,43.85,10304.24,0,19870,Wednesday
2019-09-26,Synthetic_Pharma_Product_A,South,1377,41.75,11933.17,0,15318,Thursday
2019-09-27,Synthetic_Pharma_Product_A,East,1414,43.7,21344.69,0,18598,Friday
2019-09-28,Synthetic_Pharma_Product_A,West,1372,42.23,18768.89,0,23185,Saturday
2019-09-29,Synthetic_Pharma_Product_A,North,1459,35.09,17172.07,0,15702,Sunday
2019-09-30,Synthetic_Pharma_Product_A,West,1812,38.71,18082.95,1,12474,Monday
2019-10-01,Synthetic_Pharma_Product_A,West,1779,41.5,19564.12,1,18085,Tuesday
2019-10-02,Synthetic_Pharma_Product_A,West,1726,37.77,15571.08,0,20752,Wednesday
2019-10-03,Synthetic_Pharma_Product_A,East,1200,44.1,14497.63,0,22896,Thursday
2019-10-04,Synthetic_Pharma_Product_A,East,1365,47.36,18881.3,0,14926,Friday
2019-10-05,Synthetic_Pharma_Product_A,South,1004,46.27,13597.32,0,19242,Saturday
2019-10-06,Synthetic_Pharma_Product_A,West,1371,41.25,19837.14,0,16837,Sunday
2019-10-07,Synthetic_Pharma_Product_A,East,1082,47.22,10338.37,0,17735,Monday
2019-10-08,Synthetic_Pharma_Product_A,East,1698,42.52,22631.2,1,24000,Tuesday
2019-10-09,Synthetic_Pharma_Product_A,South,1474,40.82,20126.69,0,14243,Wednesday
2019-10-10,Synthetic_Pharma_Product_A,East,1622,39.85,19152.13,0,18634,Thursday
2019-10-11,Synthetic_Pharma_Product_A,West,1645,40.94,22422.11,0,19169,Friday
2019-10-12,Synthetic_Pharma_Product_A,North,1277,40.64,25494.64,0,20714,Saturday
2019-10-13,Synthetic_Pharma_Product_A,West,1328,42.6,22564.67,0,18245,Sunday
2019-10-14,Synthetic_Pharma_Product_A,East,1206,42.56,9716.07,0,18770,Monday
2019-10-15,Synthetic_Pharma_Product_A,West,1202,42.01,12241.9,0,17021,Tuesday
2019-10-16,Synthetic_Pharma_Product_A,South,1331,43.53,15188.32,0,18673,Wednesday
2019-10-17,Synthetic_Pharma_Product_A,South,1302,46.17,18117.41,0,17142,Thursday
2019-10-18,Synthetic_Pharma_Product_A,West,1662,45.32,20329.47,0,19554,Friday
2019-10-19,Synthetic_Pharma_Product_A,North,1382,36.8,14734.15,0,17076,Saturday
2019-10-20,Synthetic_Pharma_Product_A,West,1551,34.0,18840.45,1,19743,Sunday
2019-10-21,Synthetic_Pharma_Product_A,South,1243,45.27,14600.78,0,17927,Monday
2019-10-22,Synthetic_Pharma_Product_A,East,1630,37.22,15248.17,0,20815,Tuesday
