record_id,region,product,sales_channel,quarter,sales_rep_count,marketing_spend_usd,doctor_visits,samples_distributed,prior_month_sales_usd,competitor_index,stock_availability,discount_pct,market_potential_index,monthly_sales_usd
10040,South,OncoPlus,Clinic,Q1,43,89384.56,432,11378,159324.79,1.32,0.877,17.64,1.05,785823.46
10041,North,Immunex,Clinic,Q1,19,67863.03,373,3485,213763.04,1.41,0.751,11.7,1.44,612394.42
10042,East,OncoPlus,Clinic,Q1,69,169876.25,160,8612,594697.66,0.75,0.891,13.36,0.71,1113742.28
10043,North,NeuroCalm,Specialty Pharmacy,Q1,51,24061.63,265,8967,369397.2,0.63,0.879,0.57,1.02,595051.25
10044,Central,NeuroCalm,Retail Pharmacy,Q2,11,168250.85,404,3047,485021.33,0.73,0.942,2.19,0.97,831669.73
10045,South,CardioCare,Retail Pharmacy,Q2,12,150541.49,437,11456,244866.43,1.29,0.996,11.4,0.76,1012910.78
10046,West,NeuroCalm,Hospital,Q1,74,32088.09,112,836,282783.78,1.16,0.79,16.18,1.32,475941.98
10047,South,NeuroCalm,Retail Pharmacy,Q1,8,106047.34,258,10665,107850.66,1.12,0.863,11.23,1.4,556776.41
10048,East,Immunex,Retail Pharmacy,Q1,24,157313.16,224,3479,136202.87,0.91,0.974,2.41,1.28,791657.87
10049,East,NeuroCalm,Hospital,Q2,41,107207.56,67,13268,542961.06,1.07,0.94,2.08,0.7,732350.44
10050,North,CardioCare,Specialty Pharmacy,Q1,36,164223.97,264,4468,392599.95,0.83,0.856,15.2,0.59,1006204.79
10051,Central,DiabeSafe,Retail Pharmacy,Q1,72,170307.25,339,1410,239270.13,0.98,0.985,2.51,1.11,849136.25
10052,West,Immunex,Hospital,Q4,55,81805.37,336,2496,527767.75,1.26,0.736,9.36,0.56,1083546.52
10053,Central,DiabeSafe,Hospital,Q4,9,74143.32,432,3629,182842.34,1.43,0.981,0.67,1.17,969719.27
10054,Central,Immunex,Specialty Pharmacy,Q1,47,169174.6,314,5947,635140.27,1.39,0.734,1.45,1.03,1410277.61
10055,East,Respira,Hospital,Q3,15,124773.81,147,6629,243786.92,1.39,0.873,12.1,1.16,708646.27
10056,Central,OncoPlus,Clinic,Q1,48,29723.86,363,6350,239132.79,0.91,0.969,12.41,1.09,768317.55
10057,North,Respira,Retail Pharmacy,Q4,42,17189.6,301,4704,223385.38,0.97,0.794,6.15,0.92,490858.62
10058,North,NeuroCalm,Retail Pharmacy,Q3,60,105986.94,36,7946,105709.14,1.19,0.852,3.88,0.7,343745.79
10059,North,DiabeSafe,Retail Pharmacy,Q3,70,168129.06,90,12449,98905.03,1.38,0.811,14.65,0.81,694523.45
10060,South,NeuroCalm,Specialty Pharmacy,Q1,12,153522.28,288,9019,431825.12,0.68,0.987,3.91,1.02,947158.22
10061,South,OncoPlus,Retail Pharmacy,Q4,2,124894.12,344,10491,572573.19,0.82,0.951,9.76,1.15,1206471.76
10062,South,Immunex,Specialty Pharmacy,Q4,7,33649.69,301,814,520122.72,0.68,0.919,17.43,1.28,867154.91
10063,West,OncoPlus,Retail Pharmacy,Q3,80,53219.34,324,12237,117486.71,1.1,0.885,2.66,1.27,800065.71
10064,South,CardioCare,Hospital,Q1,3,158836.91,26,1634,368260.92,0.83,0.95,16.94,1.47,838470.64
10065,South,OncoPlus,Clinic,Q2,3,41077.23,333,11438,95466.76,0.84,0.83,3.29,0.79,666415.94
10066,East,CardioCare,Specialty Pharmacy,Q2,27,57334.7,324,5376,58082.68,0.61,0.845,10.21,0.57,594390.07
10067,North,OncoPlus,Retail Pharmacy,Q4,40,32032.11,122,8602,436959.23,0.86,0.924,6.79,0.85,560434.6
10068,West,CardioCare,Clinic,Q2,33,124938.4,328,10212,361794.45,1.33,0.82,17.37,1.24,746296.3
10069,North,DiabeSafe,Clinic,Q4,1,170476.99,212,8847,80854.68,0.76,0.738,4.92,0.94,605448.39
10070,Central,NeuroCalm,Specialty Pharmacy,Q4,8,55724.57,260,6092,51662.33,1.18,0.741,7.19,1.32,421332.08
10071,West,NeuroCalm,Specialty Pharmacy,Q4,32,90819.12,81,2224,643648.98,1.12,0.752,17.69,1.05,628670.28
10072,North,Respira,Specialty Pharmacy,Q2,48,117837.76,36,3843,48613.23,1.33,0.964,9.66,1.43,508771.08
10073,North,NeuroCalm,Specialty Pharmacy,Q4,4,179909.26,190,1386,305607.52,0.67,0.852,9.05,1.45,765620.18
10074,West,Immunex,Retail Pharmacy,Q3,70,27817.37,44,11765,342863.8,1.43,0.92,4.64,0.57,490979.95
10075,West,OncoPlus,Specialty Pharmacy,Q1,19,94757.04,270,11497,102713.69,1.07,0.83,12.62,0.96,939872.38
10076,West,Respira,Hospital,Q1,32,75470.42,272,1221,134818.3,1.45,0.792,0.26,1.11,535999.81
10077,West,Immunex,Clinic,Q4,9,157189.43,406,8178,248119.1,1.37,0.817,0.89,0.76,799352.68
10078,North,Immunex,Clinic,Q1,12,90914.51,226,9604,502239.04,0.75,0.942,10.79,0.91,777616.88
10079,South,CardioCare,Hospital,Q2,11,28866.18,48,3857,344391.1,0.6,0.895,6.15,1.18,443878.99
10080,North,NeuroCalm,Specialty Pharmacy,Q2,46,117852.1,136,1370,425499.16,0.78,0.983,17.16,0.73,748812.72
10081,Central,DiabeSafe,Hospital,Q1,16,141032.71,435,12800,640808.22,1.02,0.91,16.26,1.1,1537502.69
10082,West,DiabeSafe,Hospital,Q2,1,10489.81,301,7251,506163.37,0.7,0.88,12.85,1.2,892624.21
10083,South,Respira,Specialty Pharmacy,Q1,63,156022.64,399,997,299304.13,0.7,0.891,14.73,0.59,980225.45
10084,North,DiabeSafe,Hospital,Q1,21,41623.91,163,2256,306793.99,0.97,0.984,12.01,1.0,721106.6
10085,South,OncoPlus,Specialty Pharmacy,Q1,30,103851.79,44,1617,413638.69,0.58,0.941,2.26,0.76,787398.86
10086,South,DiabeSafe,Specialty Pharmacy,Q4,13,80685.58,329,12101,442526.43,0.66,0.727,13.78,1.22,1058106.03
10087,West,Respira,Retail Pharmacy,Q1,34,132341.15,175,3328,340440.77,0.92,0.87,3.78,0.69,671452.45
10088,West,DiabeSafe,Hospital,Q4,4,73097.47,92,13982,429813.96,0.61,0.913,5.82,1.39,979937.34
10089,Central,OncoPlus,Hospital,Q1,28,157859.74,139,14792,44590.15,0.91,0.93,14.75,0.93,1038507.15
10090,East,CardioCare,Retail Pharmacy,Q1,59,134184.38,331,2147,296366.18,0.98,0.78,9.66,0.7,728797.98
10091,North,Respira,Clinic,Q1,27,120111.24,340,14378,202941.61,0.96,0.963,15.48,0.94,615923.8
10092,West,CardioCare,Retail Pharmacy,Q2,69,145360.9,112,7492,110088.16,1.33,0.988,3.83,0.91,636621.69
10093,West,CardioCare,Hospital,Q4,25,138183.92,105,11675,91718.84,1.03,0.786,10.94,0.93,667344.43
10094,East,CardioCare,Retail Pharmacy,Q4,3,16109.57,355,14278,403979.14,0.97,0.967,1.51,1.09,726599.3
10095,West,Immunex,Retail Pharmacy,Q1,68,77104.84,444,7271,354632.34,0.92,0.747,11.58,1.02,981543.88
10096,East,NeuroCalm,Specialty Pharmacy,Q1,25,168237.24,383,642,187222.15,1.29,0.736,13.73,0.65,725865.84
10097,East,Immunex,Hospital,Q2,20,31373.13,137,14012,321989.04,1.36,0.756,10.53,0.57,750715.3
10098,South,NeuroCalm,Specialty Pharmacy,Q2,34,135306.41,252,3261,335184.04,1.32,0.736,4.79,1.23,763050.46
10099,North,CardioCare,Retail Pharmacy,Q2,26,175680.61,218,3935,150905.57,1.16,0.957,0.56,1.06,814728.58
10100,North,Respira,Clinic,Q4,5,18873.77,225,7122,434297.7,0.67,0.737,2.15,0.86,484600.12
10101,North,NeuroCalm,Retail Pharmacy,Q4,61,125972.96,432,13352,514170.0,0.8,0.796,11.2,1.31,850354.0
10102,West,OncoPlus,Retail Pharmacy,Q4,9,89586.2,358,11123,520707.4,0.59,0.749,16.82,0.89,1195139.66
10103,South,OncoPlus,Clinic,Q1,50,108459.79,166,14503,403531.3,1.39,0.803,3.72,1.3,878934.6
10104,East,DiabeSafe,Hospital,Q4,6,24508.03,444,7569,347215.92,1.14,0.745,13.23,0.81,1011080.0
10105,Central,NeuroCalm,Clinic,Q3,60,17311.18,448,5012,67824.43,1.22,0.907,15.6,0.57,373481.23
10106,South,Respira,Specialty Pharmacy,Q3,44,123367.33,290,2348,208455.41,0.83,0.757,9.38,1.43,720743.15
10107,South,Immunex,Hospital,Q2,11,149962.6,406,3196,87828.3,1.31,0.959,12.05,0.89,996525.79
10108,West,CardioCare,Hospital,Q4,66,142942.61,158,2217,627570.36,0.78,0.949,14.67,1.29,1199162.18
10109,North,DiabeSafe,Specialty Pharmacy,Q3,47,102446.97,200,14178,113749.69,0.55,0.724,4.69,0.78,805117.3
10110,North,OncoPlus,Hospital,Q2,73,26977.36,449,3572,124100.75,0.89,0.971,5.34,1.15,985989.43
10111,South,Immunex,Retail Pharmacy,Q4,3,126967.56,49,9759,581537.5,1.06,0.728,0.01,1.37,809116.55
10112,North,Immunex,Retail Pharmacy,Q1,76,51121.11,76,3286,615235.54,0.98,0.787,17.34,0.54,658205.79
10113,Central,CardioCare,Retail Pharmacy,Q3,30,164881.68,251,14654,504814.0,1.33,0.729,16.52,1.33,953997.6
10114,West,NeuroCalm,Hospital,Q1,21,152505.11,165,13909,33351.05,0.64,0.814,13.76,1.07,686870.93
10115,West,OncoPlus,Clinic,Q4,28,130595.1,403,4291,30834.69,1.05,0.864,1.42,1.11,796684.71
10116,Central,Respira,Clinic,Q3,62,171303.81,67,9980,264422.48,1.01,0.943,8.06,1.02,642845.89
10117,West,Immunex,Clinic,Q4,33,15341.71,213,4371,118905.13,0.8,0.815,1.83,1.37,372784.91
10118,North,CardioCare,Specialty Pharmacy,Q1,35,135154.07,243,2306,41399.41,1.29,0.918,0.29,0.54,552540.05
10119,Central,Respira,Hospital,Q3,52,66141.27,155,14975,317721.35,1.23,0.773,11.09,0.76,626051.37
10120,East,NeuroCalm,Specialty Pharmacy,Q1,34,164031.2,41,2004,614698.38,1.21,0.93,17.29,1.38,725161.02
10121,West,OncoPlus,Hospital,Q4,41,55334.78,25,3808,230768.14,1.34,0.786,16.25,1.25,602984.69
10122,Central,NeuroCalm,Hospital,Q4,51,133225.6,223,7617,439907.22,1.2,0.76,12.54,0.52,746259.18
10123,South,Immunex,Hospital,Q1,47,159199.99,258,13804,434385.92,0.76,0.772,1.74,1.02,1321160.86
10124,North,Respira,Retail Pharmacy,Q3,58,17081.66,204,5548,185669.66,1.19,0.771,4.93,1.03,334679.73
10125,North,Respira,Specialty Pharmacy,Q1,75,77600.09,379,11643,433263.65,0.83,0.864,5.76,0.9,927444.08
10126,South,Respira,Specialty Pharmacy,Q4,57,139592.54,311,8763,161647.06,0.77,0.957,13.74,0.8,939502.88
10127,West,Immunex,Retail Pharmacy,Q1,23,87336.21,354,2190,105644.6,0.62,0.742,14.44,1.18,764107.99
10128,Central,Immunex,Hospital,Q4,48,55432.95,239,14079,464857.64,1.22,0.918,6.93,0.71,1022656.25
10129,North,NeuroCalm,Clinic,Q1,22,47366.91,135,10036,100333.31,1.19,0.903,7.52,1.3,419872.93
10130,East,DiabeSafe,Retail Pharmacy,Q3,17,32358.11,332,14942,648083.72,0.76,0.964,0.8,1.3,1001606.68
10131,South,NeuroCalm,Retail Pharmacy,Q3,69,155712.03,68,3803,143740.49,1.22,0.788,5.2,0.92,478107.75
10132,North,OncoPlus,Hospital,Q1,11,107810.42,192,3613,398367.95,1.38,0.846,8.12,0.78,1003985.35
10133,North,CardioCare,Specialty Pharmacy,Q1,15,22985.44,101,9574,285052.23,0.65,0.979,2.11,0.78,518001.45
10134,South,Respira,Specialty Pharmacy,Q3,35,75038.66,341,12926,108359.58,0.76,0.905,8.16,0.98,725057.94
10135,Central,DiabeSafe,Hospital,Q4,33,72514.72,352,11354,47263.22,1.23,0.829,15.36,1.22,847965.38
10136,South,CardioCare,Hospital,Q3,16,40895.66,64,8350,416094.02,0.8,0.757,10.46,0.86,639249.89
10137,East,DiabeSafe,Specialty Pharmacy,Q4,34,84036.3,354,6916,530189.69,1.11,0.793,1.42,1.11,1079864.47
10138,West,NeuroCalm,Retail Pharmacy,Q1,66,66456.89,39,2004,552049.71,0.62,0.883,3.45,0.88,395696.33
10139,South,Immunex,Hospital,Q1,40,68106.63,240,11155,329282.35,0.96,0.921,8.54,0.8,1019552.24
10140,Central,Respira,Clinic,Q4,28,135634.51,142,11245,512022.39,1.22,0.755,6.51,0.52,606609.41
10141,Central,NeuroCalm,Hospital,Q1,47,47954.78,253,9424,447165.22,1.17,0.888,6.46,0.5,667871.45
10142,South,CardioCare,Retail Pharmacy,Q4,39,119116.19,240,10440,479037.81,1.28,0.874,9.53,0.73,840282.6
10143,East,CardioCare,Clinic,Q2,70,107010.44,342,4424,335411.38,1.34,0.864,10.52,0.91,742536.72
10144,South,CardioCare,Retail Pharmacy,Q3,73,106575.73,358,9115,422715.28,1.25,0.913,14.34,1.35,856473.84
10145,South,CardioCare,Retail Pharmacy,Q2,20,122711.25,22,12170,529426.07,1.15,0.954,6.14,1.3,713700.26
10146,North,CardioCare,Retail Pharmacy,Q4,1,103224.95,201,10283,276688.19,0.58,0.81,14.5,0.77,619619.07
10147,East,DiabeSafe,Hospital,Q3,72,159473.37,225,4985,529706.92,1.03,0.969,6.1,0.74,1296129.7
10148,East,NeuroCalm,Clinic,Q4,63,124848.62,339,13129,397050.44,0.58,0.765,1.0,0.73,651748.59
10149,North,Respira,Retail Pharmacy,Q3,67,102983.75,59,13733,132858.64,1.28,0.768,9.98,0.84,391216.82
10150,South,Immunex,Clinic,Q3,4,151059.73,78,13401,45304.18,0.84,0.795,10.58,1.0,740538.86
10151,Central,Immunex,Hospital,Q3,58,113044.92,81,8600,254907.23,1.06,0.753,16.82,0.94,785201.19
10152,North,NeuroCalm,Hospital,Q3,25,59494.52,151,9184,368951.72,0.8,0.784,13.07,0.72,592368.87
10153,North,NeuroCalm,Hospital,Q4,47,45206.14,79,691,550688.62,1.25,0.75,16.52,0.63,526936.2
10154,East,Immunex,Retail Pharmacy,Q3,38,35895.72,391,9190,109041.12,1.35,0.95,16.35,0.51,624378.89
10155,Central,Immunex,Retail Pharmacy,Q3,15,162907.39,350,5417,526127.94,0.91,0.759,10.88,0.65,1083288.17
10156,South,DiabeSafe,Clinic,Q2,63,130723.02,141,6331,565065.61,1.33,0.929,9.5,1.21,612382.89
10157,West,OncoPlus,Retail Pharmacy,Q1,21,169354.33,126,9948,123426.24,0.79,0.733,10.03,0.74,870910.37
10158,West,Respira,Clinic,Q1,57,112559.61,115,10660,557988.48,1.03,0.986,17.61,0.97,551103.55
10159,North,CardioCare,Hospital,Q2,53,90478.15,366,4822,644701.21,1.32,0.919,13.92,1.09,1171382.7
10160,West,OncoPlus,Clinic,Q2,46,20151.8,433,14182,480640.08,0.84,0.722,1.91,1.39,993954.56
10161,South,NeuroCalm,Specialty Pharmacy,Q4,14,124179.19,254,10878,516557.2,1.41,0.934,14.01,1.39,863637.31
10162,West,Immunex,Specialty Pharmacy,Q4,76,108975.49,405,7499,646537.47,0.66,0.864,3.07,1.25,1367864.4
10163,West,OncoPlus,Clinic,Q4,17,178335.51,81,9508,405398.38,0.57,0.938,8.05,0.54,764555.62
10164,East,Respira,Specialty Pharmacy,Q2,39,50656.99,275,11912,220889.56,1.36,0.866,3.79,1.08,764979.19
10165,North,NeuroCalm,Retail Pharmacy,Q2,9,100225.35,68,7782,549269.12,0.61,0.899,12.41,1.29,615206.95
10166,West,CardioCare,Hospital,Q3,77,120662.75,412,10165,410981.18,1.44,0.94,15.79,0.52,1125329.5
10167,South,CardioCare,Hospital,Q4,79,119580.5,367,9778,390341.16,1.41,0.833,5.23,1.05,1141357.17
10168,North,Respira,Clinic,Q4,6,105419.9,178,12891,187254.04,0.67,0.721,1.48,1.36,431519.71
10169,North,Respira,Retail Pharmacy,Q4,23,142077.76,143,2374,498927.25,1.03,0.958,5.37,0.97,752672.58
10170,East,Immunex,Specialty Pharmacy,Q1,59,44846.81,336,9562,80633.71,0.72,0.827,12.1,0.5,771818.73
10171,West,CardioCare,Retail Pharmacy,Q3,46,133356.62,226,5263,603057.98,0.94,0.859,5.92,0.51,802187.37
10172,North,NeuroCalm,Hospital,Q4,38,115354.88,67,10734,232010.55,0.61,0.722,5.01,0.92,622432.29
10173,East,OncoPlus,Hospital,Q4,14,162332.77,428,8964,109220.28,0.75,0.858,3.32,0.66,1319490.23
10174,North,NeuroCalm,Specialty Pharmacy,Q4,72,154023.05,439,9721,304267.25,0.88,0.996,8.96,1.16,917944.83
10175,West,DiabeSafe,Retail Pharmacy,Q1,62,63575.0,155,11910,56331.34,0.94,0.798,4.97,1.21,541661.37
10176,North,DiabeSafe,Hospital,Q1,35,56960.35,220,12761,454468.24,1.43,0.831,13.16,0.68,921980.95
10177,West,Respira,Retail Pharmacy,Q2,19,176881.07,269,1551,589677.42,1.28,0.912,1.38,1.39,908056.78
10178,South,Immunex,Hospital,Q3,30,99635.08,333,12725,549103.06,1.21,0.948,11.95,0.94,1285083.91
10179,Central,DiabeSafe,Retail Pharmacy,Q2,78,164091.56,376,10265,108969.07,1.03,0.837,4.28,0.64,885321.43
10180,North,CardioCare,Hospital,Q3,25,37859.77,387,11882,108288.11,1.31,0.807,8.81,1.26,825790.61
10181,South,NeuroCalm,Specialty Pharmacy,Q1,40,119279.22,448,13080,534329.38,0.86,0.983,5.15,1.29,1143976.29
10182,North,NeuroCalm,Hospital,Q4,14,147676.23,337,8038,603037.65,1.19,0.91,13.01,1.14,1027179.14
10183,Central,Respira,Retail Pharmacy,Q2,26,171057.19,314,7911,315615.29,1.44,0.753,17.02,1.35,838643.94
10184,Central,OncoPlus,Hospital,Q4,22,67347.82,333,12489,339362.09,0.83,0.739,16.51,1.24,1295272.72
10185,South,Respira,Hospital,Q2,48,133246.8,228,11981,227322.47,1.16,0.855,10.5,1.38,876370.21
10186,West,OncoPlus,Retail Pharmacy,Q1,51,101598.21,374,6820,584444.37,1.31,0.782,8.33,0.93,1161710.66
10187,West,Respira,Retail Pharmacy,Q1,3,20306.92,230,12439,429839.8,1.37,0.791,14.73,1.25,583500.13
10188,East,Respira,Retail Pharmacy,Q1,42,127299.96,211,2605,208715.98,1.2,0.966,12.3,1.5,602337.91
10189,East,Respira,Hospital,Q2,19,127316.41,63,14080,215245.38,0.81,0.745,3.3,1.22,778441.34
10190,South,OncoPlus,Specialty Pharmacy,Q3,73,168203.16,48,807,582544.05,0.84,0.92,14.78,0.61,1107805.68
10191,North,OncoPlus,Clinic,Q2,28,94543.12,78,8237,38453.09,0.57,0.796,7.72,1.02,432094.25
10192,Central,Respira,Specialty Pharmacy,Q3,45,49142.66,90,3859,230090.48,1.23,0.933,3.4,1.09,436251.71
10193,Central,DiabeSafe,Hospital,Q2,71,17575.85,111,13764,373701.14,0.59,0.922,5.07,0.67,690963.4
10194,West,Immunex,Retail Pharmacy,Q2,78,80659.17,284,3676,121894.83,1.33,0.722,4.82,1.46,684187.63
10195,South,Immunex,Hospital,Q1,63,61325.84,402,1751,87101.23,0.66,0.863,9.35,0.68,830570.92
10196,South,Immunex,Hospital,Q4,73,139385.01,239,5866,535471.33,0.7,0.759,4.22,0.68,1191720.04
10197,West,OncoPlus,Clinic,Q4,19,70225.52,409,11439,584530.72,0.98,0.963,2.22,1.42,1062453.52
10198,Central,OncoPlus,Hospital,Q3,47,171342.1,432,2017,540635.98,1.21,0.964,2.23,0.97,1694653.62
10199,Central,DiabeSafe,Retail Pharmacy,Q4,14,173592.73,420,6726,587248.49,0.68,0.837,10.5,0.56,1147782.78
10200,West,Immunex,Retail Pharmacy,Q2,38,115554.46,419,5805,372929.42,0.95,0.844,13.23,1.1,1018992.02
10201,West,Immunex,Specialty Pharmacy,Q2,53,167872.25,234,10070,533600.04,0.98,0.805,5.79,1.1,1272485.17
10202,North,Respira,Retail Pharmacy,Q1,61,139345.24,406,6369,268106.44,0.74,0.921,0.62,0.56,813426.18
10203,North,OncoPlus,Hospital,Q1,36,102966.14,296,8539,443086.07,0.65,0.82,2.29,1.47,1292354.89
10204,Central,Immunex,Hospital,Q4,40,40652.35,83,14507,643078.03,1.3,0.795,16.46,1.04,879956.04
10205,East,NeuroCalm,Retail Pharmacy,Q3,30,87961.65,365,14830,169951.19,1.0,0.841,8.88,1.06,732293.51
10206,North,DiabeSafe,Hospital,Q4,9,105348.66,311,5391,271737.84,0.56,0.746,8.16,1.02,999401.56
10207,North,NeuroCalm,Retail Pharmacy,Q4,64,156873.47,264,5492,327629.37,1.27,0.929,0.68,1.11,659355.99
10208,West,NeuroCalm,Hospital,Q4,33,91826.67,81,2461,115569.6,1.43,0.724,13.12,0.76,405828.65
10209,North,DiabeSafe,Hospital,Q4,52,162604.69,445,12997,80243.94,1.1,0.9,9.51,0.79,1163056.72
10210,North,NeuroCalm,Retail Pharmacy,Q2,14,124639.33,351,3363,544428.18,1.0,0.771,3.64,1.01,752703.39
10211,East,Immunex,Hospital,Q3,75,33289.84,189,11348,635612.51,1.34,0.785,1.98,1.31,961927.73
10212,West,OncoPlus,Retail Pharmacy,Q2,53,179146.83,288,11186,280929.54,1.41,0.898,6.9,0.55,1133069.11
10213,West,DiabeSafe,Specialty Pharmacy,Q3,59,99629.55,286,7103,84342.9,1.23,0.998,15.07,1.1,822453.22
10214,North,Respira,Specialty Pharmacy,Q1,78,76615.91,73,13755,70803.29,0.95,0.938,15.58,1.31,551353.41
10215,West,NeuroCalm,Hospital,Q4,41,122049.34,35,5067,582617.29,1.08,0.783,10.85,0.66,632113.02
10216,North,DiabeSafe,Hospital,Q2,68,28511.86,27,7013,317564.83,1.18,0.769,13.1,0.52,526803.49
10217,South,CardioCare,Hospital,Q3,68,118211.57,123,4505,228416.94,0.72,0.963,2.07,0.81,680136.91
10218,West,CardioCare,Retail Pharmacy,Q1,8,94700.12,78,12255,325405.99,0.95,0.844,10.59,1.09,571098.26
10219,West,OncoPlus,Specialty Pharmacy,Q1,2,79134.59,332,9614,227348.54,1.3,0.758,12.01,0.64,1006844.03
10220,West,Immunex,Hospital,Q4,41,172013.4,59,12924,333202.18,1.14,0.961,3.61,0.93,1126609.59
10221,West,OncoPlus,Clinic,Q3,55,98831.75,256,13154,562924.97,0.92,0.949,15.84,1.05,1008760.0
10222,East,OncoPlus,Hospital,Q2,16,47249.97,405,11651,397226.85,1.15,0.995,3.51,1.1,1128814.59
10223,North,OncoPlus,Retail Pharmacy,Q4,62,88023.79,113,683,460685.34,0.66,0.975,5.64,0.77,731516.75
10224,South,OncoPlus,Specialty Pharmacy,Q2,48,166295.86,241,8255,256095.82,0.91,0.959,11.17,0.9,1251062.59
10225,South,Respira,Clinic,Q1,30,39936.23,223,3858,487873.64,1.26,0.735,11.49,1.28,436651.81
